# Thet  eta  binding
268.47 32.93 0.60
268.80 32.93 0.60
269.12 32.93 0.60
269.44 32.93 0.60
269.77 32.93 0.60
270.09 32.93 0.60
270.41 32.93 0.61
270.74 32.93 0.61
271.06 32.93 0.61
271.38 32.93 0.61
271.71 32.93 0.61
272.03 32.93 0.61
272.35 32.93 0.62
272.68 32.93 0.62
273.00 32.93 0.62
241.00 34.55 0.37
241.32 34.55 0.37
241.65 34.55 0.37
241.97 34.55 0.38
242.29 34.55 0.38
242.62 34.55 0.38
242.94 34.55 0.38
243.26 34.55 0.39
243.59 34.55 0.39
243.91 34.55 0.39
244.23 34.55 0.40
244.56 34.55 0.40
244.88 34.55 0.40
245.20 34.55 0.40
245.53 34.55 0.41
245.85 34.55 0.41
246.17 34.55 0.41
246.49 34.55 0.42
246.82 34.55 0.42
247.14 34.55 0.42
247.46 34.55 0.43
247.79 34.55 0.43
248.11 34.55 0.43
248.43 34.55 0.44
248.76 34.55 0.44
249.08 34.55 0.44
249.40 34.55 0.44
249.73 34.55 0.45
250.05 34.55 0.45
250.37 34.55 0.45
250.70 34.55 0.46
251.02 34.55 0.46
251.34 34.55 0.46
251.67 34.55 0.47
251.99 34.55 0.47
252.31 34.55 0.47
252.64 34.55 0.47
252.96 34.55 0.48
253.28 34.55 0.48
253.61 34.55 0.48
253.93 34.55 0.48
254.25 34.55 0.49
254.58 34.55 0.49
254.90 34.55 0.49
255.22 34.55 0.49
255.55 34.55 0.50
255.87 34.55 0.50
256.19 34.55 0.50
256.52 34.55 0.50
256.84 34.55 0.51
257.16 34.55 0.51
257.48 34.55 0.51
257.81 34.55 0.52
258.13 34.55 0.52
258.45 34.55 0.52
258.78 34.55 0.52
259.10 34.55 0.53
259.42 34.55 0.53
259.75 34.55 0.53
260.07 34.55 0.54
260.39 34.55 0.54
260.72 34.55 0.54
261.04 34.55 0.54
261.36 34.55 0.55
261.69 34.55 0.55
262.01 34.55 0.55
262.33 34.55 0.55
262.66 34.55 0.56
262.98 34.55 0.56
263.30 34.55 0.56
263.63 34.55 0.57
263.95 34.55 0.57
264.27 34.55 0.57
264.60 34.55 0.57
264.92 34.55 0.58
265.24 34.55 0.58
265.57 34.55 0.58
265.89 34.55 0.58
266.21 34.55 0.59
266.54 34.55 0.59
266.86 34.55 0.59
267.18 34.55 0.59
267.51 34.55 0.59
267.83 34.55 0.60
268.15 34.55 0.60
268.47 34.55 0.60
268.80 34.55 0.60
269.12 34.55 0.61
269.44 34.55 0.61
269.77 34.55 0.61
270.09 34.55 0.61
270.41 34.55 0.61
270.74 34.55 0.62
271.06 34.55 0.62
271.38 34.55 0.62
271.71 34.55 0.62
272.03 34.55 0.62
272.35 34.55 0.63
272.68 34.55 0.63
273.00 34.55 0.63
241.00 36.16 0.37
241.32 36.16 0.37
241.65 36.16 0.37
241.97 36.16 0.38
242.29 36.16 0.38
242.62 36.16 0.38
242.94 36.16 0.38
243.26 36.16 0.39
243.59 36.16 0.39
243.91 36.16 0.39
244.23 36.16 0.40
244.56 36.16 0.40
244.88 36.16 0.40
245.20 36.16 0.40
245.53 36.16 0.41
245.85 36.16 0.41
246.17 36.16 0.41
246.49 36.16 0.42
246.82 36.16 0.42
247.14 36.16 0.42
247.46 36.16 0.43
247.79 36.16 0.43
248.11 36.16 0.43
248.43 36.16 0.44
248.76 36.16 0.44
249.08 36.16 0.44
249.40 36.16 0.45
249.73 36.16 0.45
250.05 36.16 0.45
250.37 36.16 0.45
250.70 36.16 0.46
251.02 36.16 0.46
251.34 36.16 0.46
251.67 36.16 0.47
251.99 36.16 0.47
252.31 36.16 0.47
252.64 36.16 0.47
252.96 36.16 0.48
253.28 36.16 0.48
253.61 36.16 0.48
253.93 36.16 0.49
254.25 36.16 0.49
254.58 36.16 0.49
254.90 36.16 0.49
255.22 36.16 0.50
255.55 36.16 0.50
255.87 36.16 0.50
256.19 36.16 0.50
256.52 36.16 0.51
256.84 36.16 0.51
257.16 36.16 0.51
257.48 36.16 0.51
257.81 36.16 0.52
258.13 36.16 0.52
258.45 36.16 0.52
258.78 36.16 0.53
259.10 36.16 0.53
259.42 36.16 0.53
259.75 36.16 0.53
260.07 36.16 0.54
260.39 36.16 0.54
260.72 36.16 0.54
261.04 36.16 0.55
261.36 36.16 0.55
261.69 36.16 0.55
262.01 36.16 0.55
262.33 36.16 0.56
262.66 36.16 0.56
262.98 36.16 0.56
263.30 36.16 0.57
263.63 36.16 0.57
263.95 36.16 0.57
264.27 36.16 0.57
264.60 36.16 0.58
264.92 36.16 0.58
265.24 36.16 0.58
265.57 36.16 0.58
265.89 36.16 0.59
266.21 36.16 0.59
266.54 36.16 0.59
266.86 36.16 0.59
267.18 36.16 0.60
267.51 36.16 0.60
267.83 36.16 0.60
268.15 36.16 0.60
268.47 36.16 0.61
268.80 36.16 0.61
269.12 36.16 0.61
269.44 36.16 0.61
269.77 36.16 0.62
270.09 36.16 0.62
270.41 36.16 0.62
270.74 36.16 0.62
271.06 36.16 0.63
271.38 36.16 0.63
271.71 36.16 0.63
272.03 36.16 0.63
272.35 36.16 0.63
272.68 36.16 0.64
273.00 36.16 0.64
241.00 37.78 0.37
241.32 37.78 0.37
241.65 37.78 0.37
241.97 37.78 0.38
242.29 37.78 0.38
242.62 37.78 0.38
242.94 37.78 0.38
243.26 37.78 0.39
243.59 37.78 0.39
243.91 37.78 0.39
244.23 37.78 0.40
244.56 37.78 0.40
244.88 37.78 0.40
245.20 37.78 0.40
245.53 37.78 0.41
245.85 37.78 0.41
246.17 37.78 0.41
246.49 37.78 0.42
246.82 37.78 0.42
247.14 37.78 0.42
247.46 37.78 0.43
247.79 37.78 0.43
248.11 37.78 0.43
248.43 37.78 0.44
248.76 37.78 0.44
249.08 37.78 0.44
249.40 37.78 0.45
249.73 37.78 0.45
250.05 37.78 0.45
250.37 37.78 0.46
250.70 37.78 0.46
251.02 37.78 0.46
251.34 37.78 0.46
251.67 37.78 0.47
251.99 37.78 0.47
252.31 37.78 0.47
252.64 37.78 0.48
252.96 37.78 0.48
253.28 37.78 0.48
253.61 37.78 0.48
253.93 37.78 0.49
254.25 37.78 0.49
254.58 37.78 0.49
254.90 37.78 0.49
255.22 37.78 0.50
255.55 37.78 0.50
255.87 37.78 0.50
256.19 37.78 0.51
256.52 37.78 0.51
256.84 37.78 0.51
257.16 37.78 0.51
257.48 37.78 0.52
257.81 37.78 0.52
258.13 37.78 0.52
258.45 37.78 0.53
258.78 37.78 0.53
259.10 37.78 0.53
259.42 37.78 0.53
259.75 37.78 0.54
260.07 37.78 0.54
260.39 37.78 0.54
